window_start,window_end,feature_cutoff,lookback_start,event_count,velocity_per_step,amount_mean,amount_std,amount_deviation,mean_interarrival_steps,unique_origins,unique_destinations,destination_entropy,amount_entropy,repetition_ratio,max_entity_relative_velocity,max_entity_relative_amount,max_entity_relative_velocity_lag1,max_entity_relative_amount_lag1,velocity_delta,amount_delta,is_synthetic_spike,scenario_ids
7,12,7,1,7164,1194.0,97349.71232970405,273586.02588140516,85075.71232970405,1.0,7164,4583,11.30909067721224,12.795835651089519,0.007816862088218872,0.3333333333333333,200000.0,0.0,0.0,0.3333333333333333,200000.0,False,
8,13,8,2,11293,1882.1666666666667,110237.75544319488,280562.7701665553,97084.19544319488,1.0,11293,7892,12.382271014027214,13.454042180953293,0.0031878154609049853,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
9,14,9,3,31376,5229.333333333333,146564.11829264407,312627.3498069761,121476.76329264406,1.0,31376,18709,13.512675754972587,14.929349392683513,0.001242988271290158,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
10,15,10,4,68452,11408.666666666666,168931.23839420325,337006.98560602684,119486.82839420324,1.0,68452,37051,14.445475179815812,16.054335278227796,0.0006281774089873195,0.3333333333333333,200000.0,0.3333333333333333,200000.0,0.0,0.0,False,
11,16,11,5,103878,17313.0,179200.46588979376,349079.9552153487,120214.27588979376,1.0,103878,52883,14.899549257956535,16.654417510151394,0.000423573807735998,0.3333333333333333,128396.70539999999,0.3333333333333333,200000.0,0.0,-71603.29460000001,False,
12,17,12,6,140454,23409.0,182155.75479487947,342720.74886431306,117312.33479487947,1.0,140453,68905,15.23680429939172,17.08786562373713,0.00034886866874563917,0.6666666666666666,128396.70539999999,0.3333333333333333,128396.70539999999,0.3333333333333333,0.0,False,
13,18,13,7,174947,29157.833333333332,183909.86205816618,335020.33735836024,113429.72205816618,1.0,174944,83676,15.490323763540843,17.403344034682735,0.0002915168593917015,0.6666666666666666,128396.70539999999,0.6666666666666666,128396.70539999999,0.0,0.0,False,
14,19,14,8,205625,34270.833333333336,185722.01251413982,328161.05267052853,107966.03251413982,1.0,205619,95042,15.66471779789185,17.635393135229805,0.0002188449848024316,0.6666666666666666,128396.70539999999,0.6666666666666666,128396.70539999999,0.0,0.0,False,
15,20,15,9,226013,37668.833333333336,184164.95223500417,312929.9111985535,99811.26223500416,1.0,226007,103412,15.838736603953109,17.771484862758278,0.00013273572759089078,0.6666666666666666,128396.70539999999,0.6666666666666666,128396.70539999999,0.0,0.0,False,
16,21,16,10,232994,38832.333333333336,179399.54383627904,289700.68838564353,91382.75883627904,1.0,232981,107187,15.975545335237431,17.81528554839099,0.0001072989004008687,0.6666666666666666,128396.70539999999,0.6666666666666666,128396.70539999999,0.0,0.0,False,
17,22,17,11,239474,39912.333333333336,173859.73890288715,263685.25534198165,83075.18390288716,1.0,239462,111512,16.09848155642969,17.855016875948934,8.769219205425224e-05,0.6666666666666666,123770.2962,0.6666666666666666,128396.70539999999,0.0,-4626.409199999995,False,
18,23,18,12,245594,40932.333333333336,169939.60100120527,250415.13919290726,77729.99600120528,1.0,245578,115738,16.207115188695536,17.89163357160929,8.143521421533099e-05,0.6666666666666666,123770.2962,0.6666666666666666,123770.2962,0.0,0.0,False,
19,24,19,13,259020,43170.0,163064.37009420124,234890.71336008116,71734.50509420125,1.0,259001,123341,16.336267135363897,17.96728881946199,7.335340900316578e-05,0.6666666666666666,123770.2962,0.6666666666666666,123770.2962,0.0,0.0,False,
20,25,20,14,272857,45476.166666666664,155734.46410317495,222185.43395790178,67091.14410317494,1.0,272837,130970,16.45324199425384,18.040829368078946,6.596862092597954e-05,0.6666666666666666,200000.0,0.6666666666666666,123770.2962,0.0,76229.7038,False,
21,26,21,15,271997,45332.833333333336,149975.8552488079,218375.11519096312,66127.0452488079,1.0,271979,134209,16.529734466170012,18.03496032445391,6.250068934583837e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
22,27,22,16,246540,41090.0,145408.82878624162,217916.34778091122,66837.01878624162,1.0,246523,128883,16.53694085395061,17.893896515047025,6.489819096292691e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
23,28,23,17,216704,36117.333333333336,140030.4415353662,216608.5064217527,67642.29653536621,1.0,216688,121197,16.509387227528165,17.707947813265797,6.460425280567041e-05,0.6666666666666666,200000.0,0.6666666666666666,200000.0,0.0,0.0,False,
