event_time,normal_events,synthetic_events,total_events
1,2708,0,2708
2,1014,0,1014
3,552,0,552
4,565,0,565
5,665,0,665
6,1660,0,1660
7,6837,0,6837
8,21097,0,21097
9,37628,0,37628
10,35991,0,35991
11,37241,0,37241
12,36153,0,36153
13,37515,0,37515
14,41485,0,41485
15,44609,0,44609
16,42471,0,42471
17,43361,0,43361
18,49579,0,49579
19,51352,0,51352
20,40625,0,40625
21,19152,0,19152
22,12635,0,12635
23,6144,0,6144
24,3216,0,3216
25,1598,0,1598
26,440,0,440
27,41,0,41
28,4,0,4
29,4,0,4
30,8,0,8
31,12,0,12
32,12,0,12
33,23616,0,23616
34,30904,0,30904
35,29157,0,29157
36,39774,0,39774
37,34000,0,34000
38,31453,0,31453
39,23391,0,23391
40,34270,0,34270
41,36348,0,36348
42,41304,0,41304
43,45060,0,45060
44,38523,0,38523
45,18500,0,18500
46,12445,0,12445
47,8681,0,8681
48,5693,0,5693
49,764,0,764
50,6,0,6
51,14,0,14
52,8,0,8
53,10,0,10
54,4,0,4
55,12,0,12
56,18,0,18
57,6,0,6
58,20,0,20
59,20,0,20
60,12,0,12
61,14,0,14
62,8,0,8
63,8,0,8
64,18,0,18
65,20,0,20
66,24,0,24
67,6,0,6
68,18,0,18
69,20,0,20
70,6,0,6
71,20,0,20
72,14,0,14
73,8,0,8
74,22,0,22
75,8,0,8
76,4,0,4
77,10,0,10
78,10,0,10
79,10,0,10
80,10,0,10
81,10,0,10
82,10,0,10
83,12,0,12
84,16,0,16
85,14,0,14
86,18,0,18
87,6,0,6
88,8,0,8
89,6,0,6
90,16,0,16
91,8,0,8
92,10,0,10
93,4444,0,4444
94,10372,0,10372
95,6858,0,6858
96,6350,0,6350
97,685,0,685
98,14,0,14
99,8,0,8
100,6,0,6
101,12,0,12
102,12,0,12
103,8,0,8
104,14,0,14
105,18,0,18
106,18,0,18
107,10,0,10
108,8,0,8
109,12,0,12
110,10,0,10
111,10,0,10
112,2,0,2
113,6,0,6
114,4,0,4
115,10,0,10
116,14,0,14
117,12,0,12
118,12,0,12
119,5740,0,5740
120,3144,0,3144
121,1074,0,1074
122,414,0,414
123,52,0,52
124,4,0,4
125,10,0,10
126,6,0,6
127,14,0,14
128,8,0,8
129,21986,0,21986
130,32890,0,32890
131,36375,0,36375
132,35936,0,35936
133,35147,0,35147
134,32391,0,32391
135,27556,0,27556
136,30340,0,30340
137,32559,0,32559
138,31422,0,31422
